id,title,url
1,Technicien de maintenance industrielle  H/F,https://www.lejobadequat.com/emplois/261501-technicien-de-maintenance-industrielle-h-f-fr
2,Tuyauteur  H/F,https://www.lejobadequat.com/emplois/261500-tuyauteur-h-f-fr
3,Mecanicien monteur  H/F,https://www.lejobadequat.com/emplois/261499-mecanicien-monteur-h-f-fr
4,Aide foreur  H/F,https://www.lejobadequat.com/emplois/261498-aide-foreur-h-f-fr
5,Foreur  H/F,https://www.lejobadequat.com/emplois/261497-foreur-h-f-fr
6,Opérateur débit  H/F,https://www.lejobadequat.com/emplois/261496-operateur-debit-f-h-fr
7,Enquêteur/trice,https://www.lejobadequat.com/emplois/261495-enqueteur-trice-fr
8,Technicien de maintenance  H/F,https://www.lejobadequat.com/emplois/261494-technicien-de-maintenance-f-h-fr
9,Soudeur  H/F,https://www.lejobadequat.com/emplois/261492-soudeur-h-f-fr
10,Assistant commercial adv  H/F,https://www.lejobadequat.com/emplois/261491-assistant-commercial-adv-f-h-fr
11,Assistant administratif  H/F,https://www.lejobadequat.com/emplois/261489-assistant-administratif-h-f-fr
12,Plombier,https://www.lejobadequat.com/emplois/261488-plombier-fr
